Month,Year,Site,Order,Family,Units,Avg,Stdev,randomprob,Length (mm),MassOligos,a,b,Mass,Production,Notes,,,
Aug/Sept,2008,T5,Ephemeroptera,Caenidae,NA,2,NA,0.597607617,#VALUE!,,0.0054,2.772,#VALUE!,,,,,
July,2013,Spring,Hirudinea,Hirudinea,41.43,5.02,5.78,0.255385476,41.43,,0.06457,2.12,173.263346,,,,,
July,2014,Dock,Hirudinea,Hirudinea,35.71,3.5,3.09,0.461900249,35.71,,0.06457,2.12,126.489874,,,,,
June,2015,Spring,Hirudinea,Hirudinea,32.86,5.02,5.78,0.397721005,32.86,,0.06457,2.12,105.9951403,,,,,
July,2015,Dock,Hirudinea,Hirudinea,30,3.5,3.09,0.677932688,30,,0.06457,2.12,87.40330327,,,,,
July,2011,Alder,Odonata,Coenagrionidae,30.71,10.54,5.79,0.583525393,30.71,,0.0051,2.785,70.76414203,,,,,
July,2013,Alder,Odonata,Libellulidae,25.86,14.64,7.85,0.715336534,25.86,,0.0076,2.809,70.59148445,,,,,
July,2013,Dock,Odonata,Libellulidae,23.71,18.86,5.22,0.672609621,23.71,,0.0076,2.809,55.36264327,,,,,
July,2013,Dock,Odonata,Libellulidae,23.14,18.86,5.22,0.577908134,23.14,,0.0076,2.809,51.69646817,,,,,
July,2016,Alder,Trichoptera,Leptoceridae,20,3.56,2.69,0.504900443,20,,0.0034,3.212,51.33189097,,,,,
Aug/Sept,2016,Alder,Odonata,Libellulidae,22.86,14.64,7.85,0.647042249,22.86,,0.0076,2.809,49.92363843,,,,,
July,2010,Alder,Odonata,Libellulidae,22.86,14.64,7.85,0.717135084,22.86,,0.0076,2.809,49.92363843,,,,,
July,2014,Dock,Odonata,Libellulidae,22.86,18.86,5.22,0.456632825,22.86,,0.0076,2.809,49.92363843,,,,,
June,2015,Dock,Odonata,Libellulidae,22.86,18.86,5.22,0.671952832,22.86,,0.0076,2.809,49.92363843,,,,,
Aug/Sept,2013,Alder,Odonata,Libellulidae,21.86,14.64,7.85,0.68650995,21.86,,0.0076,2.809,44.02825033,,,,,
Aug/Sept,2013,T1,Bivalvia,Pisidium,24.14,2.68,1.08,0.74433698,24.14,,0.0163,2.477,43.38655092,,,,,
Aug/Sept,2011,Alder,Odonata,Libellulidae,21.43,14.64,7.85,0.682798134,21.43,,0.0076,2.809,41.64602395,,,,,
Aug/Sept,2012,Dock,Trichoptera,Limnephilidae,22.86,9.79,4.34,0.490687981,22.86,,0.004,2.933,38.73212717,,,,,
July,2015,Dock,Hirudinea,Hirudinea,19.71,3.5,3.09,0.290272173,19.71,,0.06457,2.12,35.88943363,,,,,
July,2015,Dock,Odonata,Libellulidae,20.29,18.86,5.22,0.731435608,20.29,,0.0076,2.809,35.70353003,,,,,
Aug/Sept,2015,Alder,Odonata,Libellulidae,20,14.64,7.85,0.282725407,20,,0.0076,2.809,34.30890443,,,,,
Aug/Sept,2015,T4,Oligochaeta,Oligochaeta,34.29,20.18,13.5,0.322157045,34.29,1.05975,0.0082,2.813,34.28571429,,,,,
Aug/Sept,2012,Dock,Trichoptera,Limnephilidae,21.86,9.79,4.34,0.696890477,21.86,,0.004,2.933,33.96936328,,,,,
Aug/Sept,2013,Spring,Hirudinea,Hirudinea,19,5.02,5.78,0.381679755,19,,0.06457,2.12,33.18856084,,,,,
June,2014,T3,Oligochaeta,Oligochaeta,32.86,20.16,14.22,0.368239277,32.86,1.01559375,0.0082,2.813,32.85714286,,,,,
July,2011,Spring,Hirudinea,Hirudinea,18.57,5.02,5.78,0.555419708,18.57,,0.06457,2.12,31.62152775,,,,,
July,2013,Dock,Trichoptera,Limnephilidae,21.29,9.79,4.34,0.599445508,21.29,,0.004,2.933,31.42988306,,,,,
Aug/Sept,2013,Dock,Oligochaeta,Oligochaeta,31.43,11.32,25.25,0.428186666,31.43,0.9714375,0.0082,2.813,31.42857143,,,,,
June,2014,T4,Oligochaeta,Oligochaeta,31.43,20.18,13.5,0.618090921,31.43,0.9714375,0.0082,2.813,31.42857143,,,,,
June,2014,Dock,Oligochaeta,Oligochaeta,30.86,11.32,25.25,0.294037018,30.86,0.953775,0.0082,2.813,30.85714286,,,,,
Aug/Sept,2015,T3,Oligochaeta,Oligochaeta,30,20.16,14.22,0.307255124,30,0.92728125,0.0082,2.813,30,,,,,
July,2013,Dock,Oligochaeta,Oligochaeta,30,11.32,25.25,0.462858587,30,0.92728125,0.0082,2.813,30,,,,,
July,2014,T5,Oligochaeta,Oligochaeta,30,19.78,11.89,0.378833136,30,0.92728125,0.0082,2.813,30,,,,,
June,2010,Spring,Oligochaeta,Oligochaeta,30,14.51,9.84,0.333071199,30,0.92728125,0.0082,2.813,30,,,,,
June,2014,T5,Oligochaeta,Oligochaeta,30,19.78,11.89,0.370635106,30,0.92728125,0.0082,2.813,30,,,,,
July,2013,Alder,Odonata,Libellulidae,19,14.64,7.85,0.254630313,19,,0.0076,2.809,29.7051984,,,,,
June,2009,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.746441232,29.59,0.914610048,0.0082,2.813,29.59005313,,,,,
July,2014,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.741618689,29.38,0.908023645,0.0082,2.813,29.37696555,,,,,
July,2015,T1,Oligochaeta,Oligochaeta,NA,21.81,12.39,0.7268114,29.29,0.90528146,0.0082,2.813,29.28824862,,,,,
Aug/Sept,2012,Alder,Oligocheta,Oligochaeta,29.29,#N/A,#N/A,0.651006721,29.29,0.905203125,0.0082,2.813,29.28571429,,,,,
Aug/Sept,2015,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.736972763,29.17,0.90173844,0.0082,2.813,29.17362256,,,,,
June,2015,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.736577281,29.16,0.901206057,0.0082,2.813,29.15639857,,,,,
Aug/Sept,2015,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.736498317,29.15,0.901099807,0.0082,2.813,29.15296109,,,,,
Aug/Sept,2009,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.744501111,29.05,0.897791997,0.0082,2.813,29.04594469,,,,,
Aug/Sept,2015,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.733541445,29.02,0.897132804,0.0082,2.813,29.02461808,,,,,
June,2014,T3,Oligochaeta,Oligochaeta,29,20.16,14.22,0.527599395,29,0.896371875,0.0082,2.813,29,,,,,
Aug/Sept,2016,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.741375861,28.92,0.893748946,0.0082,2.813,28.91514132,,,,,
July,2015,T1,Oligochaeta,Oligochaeta,NA,21.81,12.39,0.715473323,28.87,0.892353719,0.0082,2.813,28.87000202,,,,,
July,2014,T1,Oligochaeta,Oligochaeta,NA,21.81,12.39,0.711359893,28.72,0.887725072,0.0082,2.813,28.72025307,,,,,
June,2014,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.734859154,28.64,0.885398785,0.0082,2.813,28.64499152,,,,,
Aug/Sept,2014,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.724454753,28.63,0.885078474,0.0082,2.813,28.63462863,,,,,
June,2015,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.723886309,28.61,0.884330986,0.0082,2.813,28.61044542,,,,,
July,2016,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.733761878,28.6,0.884003145,0.0082,2.813,28.5998389,,,,,
June,2015,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.723008078,28.57,0.883177619,0.0082,2.813,28.57313095,,,,,
July,2010,T5,Oligochaeta,Oligochaeta,28.57,19.78,11.89,0.491589301,28.57,0.883125,0.0082,2.813,28.57142857,,,,,
July,2016,T5,Oligochaeta,Oligochaeta,28.57,19.78,11.89,0.506173969,28.57,0.883125,0.0082,2.813,28.57142857,,,,,
June,2013,Dock,Oligochaeta,Oligochaeta,28.57,11.32,25.25,0.375261368,28.57,0.883125,0.0082,2.813,28.57142857,,,,,
June,2014,T5,Oligochaeta,Oligochaeta,28.57,19.78,11.89,0.455303419,28.57,0.883125,0.0082,2.813,28.57142857,,,,,
June,2014,T4,Oligochaeta,Oligochaeta,28.57,20.18,13.5,0.498619738,28.57,0.883125,0.0082,2.813,28.57142857,,,,,
Aug/Sept,2015,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.721039892,28.49,0.880599309,0.0082,2.813,28.48971577,,,,,
Aug/Sept,2012,Alder,Odonata,Libellulidae,18.71,14.64,7.85,0.65963619,18.71,,0.0076,2.809,28.46743039,,,,,
June,2014,T1,Oligochaeta,Oligochaeta,NA,21.81,12.39,0.70363311,28.44,0.879113371,0.0082,2.813,28.44164176,,,,,
July,2016,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.728807005,28.4,0.877736798,0.0082,2.813,28.39710598,,,,,
Aug/Sept,2016,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.723867364,28.2,0.871546284,0.0082,2.813,28.19682649,,,,,
June,2015,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.747539209,28.15,0.870243235,0.0082,2.813,28.15466942,,,,,
Aug/Sept,2015,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.712220224,28.12,0.869152007,0.0082,2.813,28.1193653,,,,,
June,2015,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.746787162,28.1,0.868407407,0.0082,2.813,28.09527551,,,,,
Aug/Sept,2009,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.721006903,28.08,0.867986358,0.0082,2.813,28.08165346,,,,,
June,2015,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.746390815,28.06,0.867441034,0.0082,2.813,28.06401082,,,,,
Aug/Sept,2009,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.71961577,28.03,0.866261479,0.0082,2.813,28.02584909,,,,,
July,2014,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.709750627,28.02,0.865976672,0.0082,2.813,28.01663482,,,,,
Aug/Sept,2015,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.709464123,28,0.865609116,0.0082,2.813,28.00474343,,,,,
Aug/Sept,2009,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.717768066,27.95,0.863976887,0.0082,2.813,27.95193648,,,,,
Aug/Sept,2009,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.71762514,27.95,0.863800467,0.0082,2.813,27.94622883,,,,,
June,2015,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.744769395,27.94,0.863495918,0.0082,2.813,27.93637589,,,,,
Aug/Sept,2016,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.744743374,27.93,0.863432713,0.0082,2.813,27.93433103,,,,,
Aug/Sept,2014,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.70727603,27.91,0.862807577,0.0082,2.813,27.91410621,,,,,
Aug/Sept,2016,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.716591095,27.9,0.862525375,0.0082,2.813,27.90497625,,,,,
Aug/Sept,2015,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.706606195,27.89,0.861951898,0.0082,2.813,27.88642275,,,,,
Aug/Sept,2015,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.706222607,27.87,0.861462292,0.0082,2.813,27.8705827,,,,,
June,2014,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.706156761,27.87,0.861378277,0.0082,2.813,27.86786458,,,,,
Aug/Sept,2015,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.715589731,27.87,0.861292708,0.0082,2.813,27.86509619,,,,,
June,2009,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.70602534,27.86,0.861210619,0.0082,2.813,27.8624404,,,,,
June,2014,T1,Odonata,Libellulidae,18.57,10.1,4,0.38100521,18.57,,0.0076,2.809,27.86121647,,,,,
Aug/Sept,2012,T5,Oligocheta,Oligochaeta,27.86,#N/A,#N/A,0.331897615,27.86,0.861046875,0.0082,2.813,27.85714286,,,,,
Aug/Sept,2009,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.714745703,27.83,0.860255328,0.0082,2.813,27.83153421,,,,,
Aug/Sept,2016,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.714548145,27.82,0.860012725,0.0082,2.813,27.82368537,,,,,
Aug/Sept,2009,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.713732131,27.79,0.859011497,0.0082,2.813,27.79129298,,,,,
June,2014,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.713704771,27.79,0.85897795,0.0082,2.813,27.79020766,,,,,
Aug/Sept,2016,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.742788374,27.78,0.858693587,0.0082,2.813,27.78100777,,,,,
July,2014,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.703962953,27.78,0.858584076,0.0082,2.813,27.7774648,,,,,
June,2009,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.712435302,27.74,0.857423102,0.0082,2.813,27.73990422,,,,,
June,2015,T4,Oligochaeta,Oligochaeta,27.71,20.18,13.5,0.405189764,27.71,0.85663125,0.0082,2.813,27.71428571,,,,,
Aug/Sept,2015,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.702216038,27.71,0.856365868,0.0082,2.813,27.70569989,,,,,
June,2009,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.711384993,27.7,0.856139134,0.0082,2.813,27.69836445,,,,,
Aug/Sept,2015,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.701933191,27.69,0.856007272,0.0082,2.813,27.69409837,,,,,
June,2015,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.741525237,27.68,0.855641569,0.0082,2.813,27.68226691,,,,,
Aug/Sept,2015,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.701402386,27.67,0.855334731,0.0082,2.813,27.67233991,,,,,
July,2014,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.710642676,27.67,0.855233002,0.0082,2.813,27.6690487,,,,,
Aug/Sept,2015,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.701132848,27.66,0.85499343,0.0082,2.813,27.6612979,,,,,
Aug/Sept,2014,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.709871521,27.64,0.854292827,0.0082,2.813,27.63863153,,,,,
June,2015,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.740699484,27.62,0.853650543,0.0082,2.813,27.61785196,,,,,
June,2015,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.740340151,27.59,0.852785155,0.0082,2.813,27.58985436,,,,,
July,2018,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.74031507,27.59,0.852724774,0.0082,2.813,27.5879009,,,,,
Aug/Sept,2009,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.707669594,27.55,0.851614698,0.0082,2.813,27.55198698,,,,,
July,2013,T5,Oligochaeta,Oligochaeta,NA,19.78,11.89,0.743442205,27.55,0.851554088,0.0082,2.813,27.55002609,,,,,
June,2009,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.698026904,27.53,0.851070546,0.0082,2.813,27.53438225,,,,,
July,2014,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.707085203,27.53,0.850905502,0.0082,2.813,27.52904264,,,,,
Aug/Sept,2016,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.73930896,27.51,0.850305147,0.0082,2.813,27.50961956,,,,,
Aug/Sept,2016,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.705385109,27.46,0.848846051,0.0082,2.813,27.46241395,,,,,
Aug/Sept,2016,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.738520876,27.45,0.848413211,0.0082,2.813,27.44841042,,,,,
July,2015,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.738504696,27.45,0.848374398,0.0082,2.813,27.44715473,,,,,
June,2016,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.738124677,27.42,0.847463173,0.0082,2.813,27.41767419,,,,,
June,2016,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.736729748,27.31,0.844124141,0.0082,2.813,27.30964767,,,,,
Aug/Sept,2009,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.701462167,27.31,0.844114662,0.0082,2.813,27.30934101,,,,,
Aug/Sept,2009,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.736670643,27.31,0.843982861,0.0082,2.813,27.30507688,,,,,
Aug/Sept,2016,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.700704206,27.28,0.843203779,0.0082,2.813,27.27987153,,,,,
